tokens,;ner_tags
gennaio;O
1996;O
e;O
ottobre;O
1997;O
.;O
;
Tutto;O
pazienti;B-Organismo
ricevuto;O
un;O
totale;O
dose;O
di;O
16;O
Gy;O
in;O
2;O
-;O
Gy;O
quotidiano;O
frazioni;O
5;O
-;O
6;O
Mezza;O
fotoni;O
basato;O
Su;O
computerizzato;O
trattamento;O
pianificazione;O
in;O
individuale;O
testa;B-Suddivisione_organismo
maschera;O
fissazione;O
.;O
;
Questo;O
primo;O
analisi;O
è;O
basato;O
Su;O
73;O
pazienti;B-Organismo
(;O
50;O
donne;B-Organismo
""",""";O
23;O
uomini;B-Organismo
""",""";O
mediano;O
età;O
74;O
.;O
3;O
anni;O
);O
""",""";O
un;O
mediano;O
Seguire;O
-;O
su;O
di;O
13;O
.;O
3;O
mesi;O
e;O
un;O
minimo;O
Seguire;O
-;O
su;O
di;O
11;O
mesi;O
.;O
;
Risultati;O
:;O
Tutto;O
pazienti;B-Organismo
completato;O
terapia;O
e;O
tollerabilità;O
era;O
Buona;O
.;O
;
Primo;O
clinico;O
controllo;O
secondo;O
angiografia;O
era;O
eseguita;O
6;O
settimane;O
dopo;O
irradiazione;O
""",""";O
poi;O
in;O
3;O
-;O
mese;O
intervalli;O
.;O
;
Diciotto;O
pazienti;B-Organismo
Srnv;O
rifiuto;O
radioterapia;O
servito;O
come;O
un;O
controllo;O
gruppo;O
e;O
erano;O
abbinato;O
18;O
irradiato;O
pazienti;B-Organismo
.;O
;
Dopo;O
7;O
mesi;O
mediano;O
visivo;O
acuità;O
(;O
Va;O
);O
era;O
20;O
/;O
160;O
per;O
il;O
irradiato;O
e;O
20;O
/;O
400;O
per;O
il;O
pazienti;B-Organismo
.;O
;
Uno;O
anno;O
dopo;O
radioterapia;O
finale;O
mediano;O
Va;O
era;O
20;O
/;O
400;O
in;O
entrambi;O
gruppi;O
.;O
;
CONCLUSIONE;O
:;O
Queste;O
risultati;O
suggerire;O
Quello;O
16;O
Gy;O
di;O
convenzionalmente;O
frazionato;O
esterno;O
trave;O
irradiazione;O
rallenta;O
il;O
visivo;O
perdita;O
in;O
esudato;O
Amd;O
per;O
soltanto;O
un;O
pochi;O
mesi;O
.;O
;
Pazienti;B-Organismo
""",""O";
lettura;O
visione;O
Potevo;O
non;O
essere;O
salvato;O
per;O
un;O
lungo;O
-;O
termine;O
correre;O
.;O
;
siero;B-Sostanza_organismo
livelli;O
di;O
vascolare;B-Gene_o_prodotto_genico
endoteliale;I-Gene_o_prodotto_genico
crescita;I-Gene_o_prodotto_genico
fattore;I-Gene_o_prodotto_genico
in;O
pazienti;B-Organismo
renale;B-Cancro
cellula;I-Cancro
carcinoma;I-Cancro
.;O
;
Neovascolarizzazione;O
""",""";O
un;O
essenziale;O
evento;O
per;O
il;O
crescita;O
di;O
solido;B-Cancro
tumori;I-Cancro
""",""";O
è;O
regolato;O
di;O
un;O
numero;O
di;O
angiogenico;O
fattori;O
.;O
;
Uno;O
tale;O
fattore;O
""",""";O
vascolare;B-Gene_o_prodotto_genico
endoteliale;I-Gene_o_prodotto_genico
crescita;I-Gene_o_prodotto_genico
fattore;I-Gene_o_prodotto_genico
(;O
VEGF;B-Gene_o_prodotto_genico
);O
""",""";O
è;O
considerato;O
a;O
esercitare;O
un;O
potente;O
angiogenico;O
attività;O
""",""";O
come;O
indicato;O
di;O
immunoistochimico;O
e;O
molecolare;O
prova;O
.;O
;
In;O
questo;O
studio;O
noi;O
indagato;O
il;O
siero;B-Sostanza_organismo
VEGF;B-Gene_o_prodotto_genico
livello;O
(;O
S;O
-;O
VEGF;B-Gene_o_prodotto_genico
);O
in;O
pazienti;B-Organismo
renale;B-Cancro
cellula;I-Cancro
carcinoma;I-Cancro
(;O
Rcc;B-Cancro
);O
.;O
;
S;O
-;O
VEGF;B-Gene_o_prodotto_genico
in;O
periferica;B-Sostanza_organismo
sangue;I-Sostanza_organismo
campioni;I-Sostanza_organismo
era;O
analizzato;O
in;O
40;O
Rcc;B-Cancro
pazienti;B-Organismo
e;O
40;O
pazienti;B-Organismo
cancro;B-Cancro
(;O
controlli;O
);O
usando;O
un;O
Sandwich;O
enzima;O
-;O
collegato;O
Immunoassay;O
.;O
;
In;O
20;O
Rcc;B-Cancro
pazienti;B-Organismo
""",""";O
siero;B-Sostanza_organismo
campioni;I-Sostanza_organismo
erano;O
ottenuto;O
separatamente;O
il;O
bilaterale;B-Struttura_multi-tessuto
renale;I-Struttura_multi-tessuto
vene;I-Struttura_multi-tessuto
.;O
;
S;O
-;O
VEGF;B-Gene_o_prodotto_genico
era;O
anche;O
misurato;O
prima;O
""",""";O
4;O
e;O
8;O
settimane;O
dopo;O
nefrectomia;O
in;O
11;O
pazienti;B-Organismo
.;O
;
Là;O
erano;O
significativo;O
differenze;O
in;O
S;O
-;O
VEGF;B-Gene_o_prodotto_genico
tra;O
il;O
Rcc;B-Cancro
pazienti;B-Organismo
e;O
il;O
controlli;O
(;O
207;O
.;O
3;O
+;O
/;O
-;O
32;O
.;O
9;O
vs;O
.;O
71;O
.;O
5;O
+;O
/;O
-;O
9;O
.;O
1;O
PG;O
/;O
ml;O
""",""";O
Significare;O
+;O
/;O
-;O
Se;O
);O
(;O
P;O
meno;O
di;O
0;O
.;O
5;O
);O
""",""";O
tra;O
il;O
tumore;B-Cancro
-;O
cuscinetto;O
renale;B-Struttura_multi-tessuto
vene;I-Struttura_multi-tessuto
e;O
il;O
controlaterale;O
quelli;O
(;O
P;O
meno;O
di;O
0;O
.;O
1;O
);O
""",""";O
tra;O
il;O
pre;O
-;O
e;O
inviare;O
-;O
nefrectomia;O
situazione;O
(;O
P;O
meno;O
di;O
0;O
.;O
1;O
);O
e;O
tra;O
il;O
Varie;O
parametri;O
di;O
tumore;B-Cancro
stato;O
tale;O
come;O
tumore;B-Cancro
estensione;O
(;O
P;O
meno;O
di;O
0;O
.;O
1;O
);O
e;O
esistenza;O
di;O
metastasi;O
(;O
P;O
meno;O
di;O
0;O
.;O
1;O
);O
.;O
;
S;O
-;O
VEGF;B-Gene_o_prodotto_genico
correlato;O
il;O
tumore;B-Cancro
volume;O
ottenuto;O
di;O
un;O
tre;O
-;O
dimensionale;O
misurazione;O
(;O
R;O
=;O
0;O
.;O
802;O
""",""";O
P;O
meno;O
di;O
0;O
.;O
1;O
);O
.;O
;
Il;O
sensibilità;O
e;O
specificità;O
di;O
S;O
-;O
VEGF;B-Gene_o_prodotto_genico
a;O
il;O
tagliare;O
-;O
spento;O
livello;O
di;O
100;O
PG;O
/;O
ml;O
""",""";O
come;O
determinato;O
di;O
il;O
ricevitore;O
-;O
operativo;O
-;O
caratteristiche;O
curva;O
""",""";O
erano;O
80;O
.;O
0;O
%;O
e;O
72;O
.;O
5;O
%;O
""",""";O
rispettivamente;O
.;O
;
Il;O
risultati;O
indicare;O
Quello;O
tumore;B-Tessuto
di;O
Rcc;B-Cancro
liberati;O
VEGF;B-Gene_o_prodotto_genico
in;O
il;O
sistemico;O
sangue;B-Sostanza_organismo
flusso;O
e;O
Quello;O
S;O
-;O
VEGF;B-Gene_o_prodotto_genico
è;O
un;O
possibile;O
marcatore;O
per;O
Rcc;B-Cancro
.;O
;
Insulina;B-Gene_o_prodotto_genico
-;O
indotto;O
vascolare;B-Gene_o_prodotto_genico
endoteliale;I-Gene_o_prodotto_genico
crescita;I-Gene_o_prodotto_genico
fattore;I-Gene_o_prodotto_genico
espressione;O
in;O
retina;B-Struttura_multi-tessuto
.;O
;
SCOPO;O
:;O
Clinico;O
Studi;O
avere;O
dimostrato;O
Quello;O
intensivo;O
