tokens;ner_tags
tumore;B-Cancro
effetto;O
di;O
L;B-Semplice_chimico
-;I-Semplice_chimico
NOME;I-Semplice_chimico
dopo;O
sistemico;O
amministrazione;O
era;O
studiato;O
in;O
un;O
renale;B-Cancro
sottocapsulare;I-Cancro
CC531;I-Cancro
adenocarcinoma;I-Cancro
modello;O
in;O
ratti;B-Organismo
.;O
;
Inoltre;O
""",""";O
regionale;O
amministrazione;O
di;O
L;B-Semplice_chimico
-;I-Semplice_chimico
NOME;I-Semplice_chimico
""",""";O
in;O
combinazione;O
Tnf;B-Gene_o_prodotto_genico
e;O
melfala;B-Semplice_chimico
""",""";O
era;O
studiato;O
in;O
un;O
isolato;O
arto;B-Suddivisione_organismo
perfusione;O
(;O
ILP;O
);O
modello;O
usando;O
BN175;B-Cancro
morbido;I-Cancro
-;I-Cancro
sarcys;I-Cancro
.;O
;
Sistemico;O
trattamento;O
L;B-Semplice_chimico
-;I-Semplice_chimico
NOME;I-Semplice_chimico
inibito;O
crescita;O
di;O
adenocarcinoma;B-Cancro
ma;O
era;O
accompagnato;O
di;O
compromesso;O
renale;B-Organo
funzione;O
.;O
;
In;O
ILP;O
""",""";O
ridotto;O
tumore;B-Cancro
crescita;O
era;O
osservato;O
quando;O
L;B-Semplice_chimico
-;I-Semplice_chimico
NOME;I-Semplice_chimico
era;O
Usato;O
solo;O
.;O
;
In;O
combinazione;O
Tnf;B-Gene_o_prodotto_genico
o;O
melfala;B-Semplice_chimico
""",""";O
L;B-Semplice_chimico
-;I-Semplice_chimico
NOME;I-Semplice_chimico
risposta;O
aliquote;O
rispetto;O
a;O
perfusioni;O
L;B-Semplice_chimico
-;I-Semplice_chimico
NOME;I-Semplice_chimico
(;O
0;O
-;O
64;O
%;O
e;O
0;O
-;O
63;O
%;O
rispettivamente;O
);O
.;O
;
Un;O
aggiuntivo;O
anti;O
-;O
tumore;B-Cancro
effetto;O
era;O
dimostrato;O
quando;O
L;B-Semplice_chimico
-;I-Semplice_chimico
NOME;I-Semplice_chimico
era;O
aggiunto;O
a;O
il;O
sinergico;O
combinazione;O
di;O
melfala;B-Semplice_chimico
e;O
Tnf;B-Gene_o_prodotto_genico
(;O
risposte;O
70;O
a;O
100;O
%;O
);O
.;O
;
Inibizione;O
di;O
NO;B-Gene_o_prodotto_genico
sintasi;I-Gene_o_prodotto_genico
riduce;O
tumore;B-Cancro
crescita;O
entrambi;O
dopo;O
sistemico;O
e;O
regionale;O
(;O
ILP;O
);O
trattamento;O
.;O
;
UN;O
sinergico;O
anti;O
-;O
tumore;B-Cancro
effetto;O
di;O
L;B-Semplice_chimico
-;I-Semplice_chimico
NOME;I-Semplice_chimico
è;O
osservato;O
in;O
combinazione;O
melfala;B-Semplice_chimico
e;O
/;O
o;O
Tnf;B-Gene_o_prodotto_genico
usando;O
ILP;O
.;O
;
Queste;O
risultati;O
indicare;O
un;O
possibile;O
ruolo;O
di;O
L;B-Semplice_chimico
-;I-Semplice_chimico
NOME;I-Semplice_chimico
per;O
il;O
trattamento;O
di;O
solido;O
tumori;B-Cancro
in;O
un;O
sistemico;O
o;O
regionale;O
collocamento;O
.;O
;
Apoptosi;O
indotto;O
di;O
1;B-Semplice_chimico
""",""I-Semplice_chimico";
-;I-Semplice_chimico
Acetossychavicol;I-Semplice_chimico
acetato;I-Semplice_chimico
in;O
Ehrlich;B-Cellula
ascites;I-Cellula
tumore;I-Cellula
cellule;I-Cellula
è;O
associato;O
modulazione;O
di;O
poliammina;O
metabolismo;O
e;O
Caspase;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
3;I-Gene_o_prodotto_genico
Attivazione;O
.;O
;
Il;O
efficacia;O
di;O
il;O
antitrumore;B-Cancro
attività;O
di;O
1;B-Semplice_chimico
""",""I-Semplice_chimico";
-;I-Semplice_chimico
Acetossychavicol;I-Semplice_chimico
acetato;I-Semplice_chimico
(;O
Aca;B-Semplice_chimico
);O
""",""";O
segnalato;O
a;O
essere;O
un;O
soppressore;O
di;O
chimicamente;O
indotto;O
carcinogenesi;O
""",""";O
era;O
valutato;O
in;O
Ehrlich;B-Cellula
ascites;I-Cellula
tumore;I-Cellula
cellule;I-Cellula
.;O
;
Aca;B-Semplice_chimico
trattamento;O
risultato;O
in;O
in;O
morfologia;O
e;O
un;O
dose;O
-;O
dipendente;O
soppressione;O
di;O
cellula;B-Cellula
Viabilità;O
.;O
;
Apoptosi;O
""",""";O
caratterizzato;O
di;O
nucleare;B-Componente_cellulare
condensazione;O
""",""";O
membrana;B-Componente_cellulare
blebbing;O
""",""";O
cellula;B-Cellula
restringimento;O
e;O
un;O
significativo;O
induzione;O
di;O
Caspase;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
3;I-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
Come;I-Gene_o_prodotto_genico
proteasi;I-Gene_o_prodotto_genico
attività;O
a;O
8;O
h;O
in;O
un;O
tempo;O
-;O
corso;O
studio;O
erano;O
osservato;O
.;O
;
Formazione;O
di;O
apoptotico;B-Componente_cellulare
corpi;I-Componente_cellulare
era;O
preceduto;O
di;O
abbassamento;O
di;O
intracellulare;B-Entità_anatomica_immateriale
Polyamines;O
""",""";O
particolarmente;O
putrescina;B-Semplice_chimico
""",""";O
e;O
entrambi;O
dose;O
-;O
e;O
tempo;O
-;O
dipendente;O
inibitorio;O
e;O
Attivazione;O
effetto;O
di;O
Aca;B-Semplice_chimico
Su;O
ornitina;B-Gene_o_prodotto_genico
decarbossilasi;I-Gene_o_prodotto_genico
(;O
ODC;B-Gene_o_prodotto_genico
);O
e;O
spermidina;B-Gene_o_prodotto_genico
/;I-Gene_o_prodotto_genico
spermineo;I-Gene_o_prodotto_genico
n;I-Gene_o_prodotto_genico
(;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
);I-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
acetiltransferasi;I-Gene_o_prodotto_genico
(;O
Ssat;B-Gene_o_prodotto_genico
);O
""",""";O
rispettivamente;O
.;O
;
Amministrazione;O
di;O
esogeno;O
Polyamines;O
prevenuto;O
Aca;B-Semplice_chimico
-;O
indotto;O
apoptosi;O
rappresentato;O
di;O
un;O
riduzione;O
in;O
il;O
numero;O
di;O
apoptotico;B-Componente_cellulare
corpi;I-Componente_cellulare
e;O
anche;O
causato;O
riduzione;O
in;O
il;O
indotto;O
Caspase;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
3;I-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
Come;I-Gene_o_prodotto_genico
proteasi;I-Gene_o_prodotto_genico
attività;O
a;O
8;O
h;O
.;O
;
Queste;O
reperti;O
suggerire;O
Quello;O
il;O
anticarcinogenico;O
Effetti;O
di;O
Aca;B-Semplice_chimico
potrebbe;O
essere;O
dovuto;O
a;O
perturbazione;O
di;O
il;O
poliammina;O
metabolico;O
sentiero;O
e;O
Trigger;O
di;O
Caspase;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
3;I-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
Come;I-Gene_o_prodotto_genico
attività;O
""",""";O
quale;O
risultato;O
in;O
apoptosi;O
.;O
;
Vascolare;B-Gene_o_prodotto_genico
endoteliale;I-Gene_o_prodotto_genico
crescita;I-Gene_o_prodotto_genico
fattore;I-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
B;I-Gene_o_prodotto_genico
e;O
vascolare;B-Gene_o_prodotto_genico
endoteliale;I-Gene_o_prodotto_genico
crescita;I-Gene_o_prodotto_genico
fattore;I-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
C;I-Gene_o_prodotto_genico
espressione;O
in;O
renale;B-Cancro
cellula;I-Cancro
carcinomi;I-Cancro
:;O
regolamento;O
di;O
il;O
von;B-Gene_o_prodotto_genico
Hippel;I-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
Lindau;I-Gene_o_prodotto_genico
gene;O
e;O
ipossia;O
.;O
;
Angiogenesi;O
è;O
essenziale;O
per;O
tumore;B-Cancro
crescita;O
e;O
metastasi;O
.;O
;
Esso;O
è;O
regolato;O
di;O
numerose;O
angiogenico;O
fattori;O
""",""";O
uno;O
di;O
il;O
importante;O
essendo;O
vascolare;B-Gene_o_prodotto_genico
endoteliale;I-Gene_o_prodotto_genico
crescita;I-Gene_o_prodotto_genico
fattore;I-Gene_o_prodotto_genico
(;O
VEGF;B-Gene_o_prodotto_genico
);O
.;O
;
Recentemente;O
VEGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
B;I-Gene_o_prodotto_genico
e;O
VEGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
C;I-Gene_o_prodotto_genico
""",""";O
Due;O
nuovo;O
VEGF;B-Gene_o_prodotto_genico
famiglia;O
membri;O
""",""";O
avere;O
stato;O
identificato;O
Quello;O
legamento;O
a;O
il;O
tirosina;O
chinasi;O
recettori;O
flt;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
(;O
VEGFRR1;B-Gene_o_prodotto_genico
);O
""",""";O
Kdr;B-Gene_o_prodotto_genico
(;O
VEGFR2;B-Gene_o_prodotto_genico
);O
""",""";O
e;O
flt;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
4;I-Gene_o_prodotto_genico
(;O
VEGFR3;B-Gene_o_prodotto_genico
);O
.;O
;
Sebbene;O
il;O
importanza;O
di;O
VEGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
UN;I-Gene_o_prodotto_genico
ha;O
stato;O
mostrato;O
in;O
renale;B-Cancro
carcinomi;I-Cancro
""",""";O
il;O
contributo;O
di;O
queste;O
nuovo;O
ligandi;O
in;O
rene;B-Cancro
tumori;I-Cancro
è;O
non;O
chiaro;O
.;O
;
Noi;O
avere;O
""",""";O
perciò;O
""",""";O
misurato;O
il;O
mRNA;O
livello;O
di;O
VEGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
B;I-Gene_o_prodotto_genico
e;O
VEGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
C;I-Gene_o_prodotto_genico
insieme;O
recettori;O
di;O
Rnase;B-Gene_o_prodotto_genico
protezione;O
dosaggio;O
(;O
RPA;O
);O
in;O
26;O
normale;B-Struttura_multi-tessuto
rene;I-Struttura_multi-tessuto
campioni;I-Struttura_multi-tessuto
e;O
45;O
renale;B-Cancro
cellula;I-Cancro
Canceri;I-Cancro
.;O
;
Noi;O
osservato;O
un;O
significativo;O
su;O
-;O
regolamento;O
di;O
VEGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
B;I-Gene_o_prodotto_genico
(;O
P;O
=;O
0;O
.;O
2;O
);O
ma;O
non;O
VEGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
C;I-Gene_o_prodotto_genico
(;O
P;O
=;O
0;O
.;O
3;O
);O
in;O
neoplastico;B-Organo
rene;I-Organo
rispetto;O
normale;B-Tessuto
tessuti;I-Tessuto
.;O
;
In;O
aggiunta;O
""",""";O
benché;O
VEGF;B-Gene_o_prodotto_genico
recettori;I-Gene_o_prodotto_genico
erano;O
in;O
tumori;B-Cancro
di;O
normale;O
rene;B-Organo
""",""";O
là;O
era;O
un;O
significativo;O
su;O
-;O
regolamento;O
di;O
soltanto;O
flt;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
(;O
P;O
=;O
0;O
.;O
3;O
);O
ma;O
non;O
Kdr;B-Gene_o_prodotto_genico
(;O
P;O
=;O
0;O
.;O
12;O
);O
o;O
flt;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
4;I-Gene_o_prodotto_genico
(;O
P;O
=;O
0;O
.;O
9;O
);O
.;O
;
Là;O
era;O
anche;O
un;O
significativo;O
correlazione;O
tra;O
VEGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
C;I-Gene_o_prodotto_genico
e;O
entrambi;O
di;O
suo;O
recettori;O
flt;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
4;I-Gene_o_prodotto_genico
(;O
P;O
=;O
0;O
.;O
6;O
);O
e;O
Kdr;B-Gene_o_prodotto_genico
(;O
P;O
=;O
0;O
.;O
3;O
);O
ma;O
no;O
associazione;O
tra;O
VEGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
B;I-Gene_o_prodotto_genico
e;O
suo;O
recettore;O
flt;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
(;O
P;O
=;O
0;O
.;O
23;O
);O
.;O
;
UN;O
significativo;O
aumento;O
era;O
osservato;O
in;O
flt;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
(;O
P;O
meno;O
di;O
0;O
.;O
1;O
);O
""",""";O
Kdr;B-Gene_o_prodotto_genico
(;O
P;O
=;O
0;O
.;O
2;O
);O
""",""";O
e;O
flt;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
4;I-Gene_o_prodotto_genico
(;O
P;O
=;O
0;O
.;O
1;O
);O
ma;O
non;O
VEGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
B;I-Gene_o_prodotto_genico
(;O
P;O
=;O
0;O
.;O
82;O
);O
o;O
VEGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
C;I-Gene_o_prodotto_genico
(;O
P;O
=;O
0;O
.;O
52;O
);O
espressione;O
in;O
chiaro;B-Cellula
cellula;I-Cellula
rispetto;O
cromofilo;B-Cancro
(;I-Cancro
papillare;I-Cancro
);I-Cancro
carcinomi;I-Cancro
.;O
;
No;O
significativo;O
associazione;O
era;O
dimostrato;O
tra;O
VEGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
B;I-Gene_o_prodotto_genico
""",""";O
VEGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
C;I-Gene_o_prodotto_genico
""",""";O
flt;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
""",""";O
Kdr;B-Gene_o_prodotto_genico
""",""";O
e;O
flt;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
4;I-Gene_o_prodotto_genico
paziente;B-Organismo
sesso;O
""",""";O
paziente;B-Organismo
età;O
""",""";O
o;O
tumore;B-Cancro
dimensione;O
(;O
P;O
maggiore;O
di;O
0;O
.;O
5;O
);O
.;O
;
Il;O
effetto;O
di;O
von;B-Gene_o_prodotto_genico
Hippel;I-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
Lindau;I-Gene_o_prodotto_genico
(;O
VHL;B-Gene_o_prodotto_genico
);O
gene;O
e;O
ipossia;O
Su;O
VEGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
B;I-Gene_o_prodotto_genico
e;O
VEGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
C;I-Gene_o_prodotto_genico
espressione;O
in;O
il;O
renale;B-Cellula
carcinoma;I-Cellula
cellula;I-Cellula
linea;I-Cellula
786;I-Cellula
-;I-Cellula
0;I-Cellula
trasfettato;O
selvaggio;O
-;O
genere;O
e;O
mutante;O
VHL;B-Gene_o_prodotto_genico
era;O
determinato;O
di;O
cellule;B-Cellula
sotto;O
21;O
%;O
O2;O
-;O
e;O
0;O
.;O
1;O
%;O
O2;O
.;O
;
In;O
selvaggio;O
-;O
genere;O
VHL;B-Gene_o_prodotto_genico
cellule;O
""",""";O
invece;O
VEGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
UN;I-Gene_o_prodotto_genico
era;O
su;O
-;O
regolato;O
sotto;O
ipossico;O
rispetto;O
normossico;O
Condizioni;O
(;O
P;O
meno;O
di;O
0;O
.;O
1;O
);O
""",""";O
espressione;O
di;O
VEGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
C;I-Gene_o_prodotto_genico
era;O
ridotto;O
(;O
P;O
meno;O
di;O
0;O
.;O
2;O
);O
.;O
;
tuttavia;O
""",""";O
il;O
repressione;O
di;O
VEGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
C;I-Gene_o_prodotto_genico
era;O
perduto;O
in;O
mutante;O
VHL;B-Gene_o_prodotto_genico
cellula;O
Linee;O
sotto;O
ipossia;O
.;O
;
In;O
contrasto;O
VEGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
B;I-Gene_o_prodotto_genico
era;O
non;O
regolato;O
di;O
VHL;B-Gene_o_prodotto_genico
nonostante;O
chiaro;O
su;O
-;O
regolamento;O
in;O
vivo;O
.;O
;
Queste;O
reperti;O
fortemente;O
sostegno;O
un;O
migliorato;O
ruolo;O
per;O
questo;O
sentiero;O
in;O
chiaro;B-Cancro
cellula;I-Cancro
carcinomi;I-Cancro
di;O
regolazione;O
angiogenesi;O
e;O
/;O
o;O
linfangiogenesi;O
.;O
;
Il;O
studio;O
Spettacoli;O
Quello;O
chiaro;B-Cancro
cellula;I-Cancro
tumori;I-Cancro
sono;O
capace;O
a;O
su;O
-;O
regolare;O
angiogenico;O
crescita;O
fattore;O
recettori;O
efficientemente;O
di;O
cromofilo;B-Cancro
(;O
papillare;B-Cancro
);O
""",""";O
Quello;O
chiaro;B-Cancro
cellula;I-Cancro
tumori;I-Cancro
Potere;O
utilizzo;O
percorsi;O
indipendente;O
di;O
VHL;B-Gene_o_prodotto_genico
a;O
regolare;O
angiogenesi;O
""",""";O
e;O
Quello;O
questo;O
combinato;O
regolamento;O
Maggio;O
account;O
per;O
aggressivo;O
fenotipo;O
""",""";O
quale;O
suggerisce;O
Quello;O
targeting;O
VEGFRR1;B-Gene_o_prodotto_genico
(;O
flt;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
l;I-Gene_o_prodotto_genico
);O
Maggio;O
essere;O
particolarmente;O
efficace;O
in;O
queste;O
tumore;B-Cancro
Tipi;O
.;O
;
Glucosio;B-Semplice_chimico
catabolismo;O
in;O
cancro;B-Cellula
cellule;I-Cellula
:;O
identificazione;O
e;O
caratterizzazione;O
di;O
un;O
segnato;O
Attivazione;O
risposta;O
di;O
il;O
genere;B-Gene_o_prodotto_genico
II;I-Gene_o_prodotto_genico
Hexochase;I-Gene_o_prodotto_genico
gene;O
a;O
ipossico;O
Condizioni;O
.;O
;
Uno;O
di;O
il;O
Comune;O
firme;O
di;O
altamente;O
maligno;B-Cancro
tumori;I-Cancro
è;O
capacità;O
a;O
metabolizzare;O
glucosio;B-Semplice_chimico
a;O
lattico;B-Semplice_chimico
acido;I-Semplice_chimico
di;O
tessuti;B-Tessuto
di;O
origine;O
.;O
;
Epatomas;B-Cancro
Espositore;O
questo;O
fenotipo;O
sono;O
dipendente;O
Su;O
il;O
alto;O
espressione;O
di;O
genere;B-Gene_o_prodotto_genico
II;I-Gene_o_prodotto_genico
Hexochase;I-Gene_o_prodotto_genico
""",""";O
quale;O
forniture;O
tale;O
tumori;B-Cancro
abbondante;O
importi;O
di;O
glucosio;B-Semplice_chimico
6;I-Semplice_chimico
-;I-Semplice_chimico
fosfato;I-Semplice_chimico
""",""";O
un;O
significativo;O
carbonio;B-Semplice_chimico
e;O
energia;O
fonte;O
specialmente;O
sotto;O
ipossico;O
Condizioni;O
.;O
;
Qui;O
noi;O
rapporto;O
Quello;O
il;O
distale;O
regione;O
di;O
il;O
epatoma;B-Cancro
genere;B-Gene_o_prodotto_genico
II;I-Gene_o_prodotto_genico
Hexochase;I-Gene_o_prodotto_genico
promotore;O
display;O
consenso;O
Motivi;O
per;O
ipossia;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
inducibile;I-Gene_o_prodotto_genico
fattore;I-Gene_o_prodotto_genico
(;O
Hif;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
);O
Quello;O
sovrapposizione;O
E;O
-;O
scatola;O
Sequenze;O
conosciuto;O
a;O
essere;O
imparentato;O
in;O
Altro;O
gene;O
promotori;O
a;O
glucosio;B-Semplice_chimico
risposta;O
.;O
;
Inoltre;O
""",""";O
noi;O
mostrare;O
Quello;O
Soggetto;O
trasfettato;O
epatoma;B-Cellula
cellule;I-Cellula
a;O
ipossico;O
Condizioni;O
Attiva;O
il;O
genere;B-Gene_o_prodotto_genico
II;I-Gene_o_prodotto_genico
Hexochase;I-Gene_o_prodotto_genico
promotore;O
quasi;O
3;O
-;O
piega;O
""",""";O
un;O
valore;O
Quello;O
approcci;O
7;O
-;O
piega;O
in;O
il;O
presenza;O
di;O
glucosio;B-Semplice_chimico
.;O
;
Coerente;O
queste;O
reperti;O
è;O
il;O
induzione;O
sotto;O
ipossico;O
Condizioni;O
di;O
il;O
Hif;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
proteina;O
.;O
;
Reporter;O
gene;O
analisi;O
un;O
serie;O
di;O
nidificato;O
cancellazione;O
mutanti;O
di;O
il;O
epatoma;B-Cancro
genere;B-Gene_o_prodotto_genico
II;I-Gene_o_prodotto_genico
Hexochase;I-Gene_o_prodotto_genico
promotore;O
mostrare;O
Quello;O
un;O
significativo;O
frazione;O
di;O
il;O
totale;O
Attivazione;O
osservato;O
sotto;O
ipossico;O
Condizioni;O
localizza;O
a;O
il;O
distale;O
regione;O
dove;O
il;O
sovrapposizione;O
Hif;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
/;O
E;O
-;O
scatola;O
Sequenze;O
sono;O
Situato;O
.;O
;
Finalmente;O
""",""";O
Dnase;B-Gene_o_prodotto_genico
io;I-Gene_o_prodotto_genico
orma;O
analisi;O
un;O
segmento;O
di;O
il;O
promotore;O
contenente;O
queste;O
elementi;O
rivela;O
il;O
legame;O
di;O
parecchi;O
nucleare;B-Componente_cellulare
proteine;O
.;O
;
In;O
riepilogo;O
""",""";O
queste;O
romanzo;O
Studi;O
identificare;O
e;O
